param,value
S0_0_0_0,396368
S0_0_1_0,0
S0_0_2_0,0
S0_0_3_0,0
S0_0_4_0,0
S0_1_0_0,0
S0_1_1_0,396368
S0_1_2_0,0
S0_1_3_0,0
S0_1_4_0,0
S0_2_0_0,0
S0_2_1_0,0
S0_2_2_0,396368
S0_2_3_0,0
S0_2_4_0,0
S0_3_0_0,0
S0_3_1_0,0
S0_3_2_0,0
S0_3_3_0,396368
S0_3_4_0,0
S0_4_0_0,0
S0_4_1_0,0
S0_4_2_0,0
S0_4_3_0,0
S0_4_4_0,396368
R0_0,4.0353197632
R0_1,4.0353197632
R0_2,4.0353197632
R0_3,4.0353197632
R0_4,4.0353197632
Sample_0,0.0586558578
Sample_1,0.0586558578
Sample_2,0.0586558578
Sample_3,0.0586558578
Sample_4,0.0586558578
Recover_0,0.429190665
Recover_1,0.429190665
Recover_2,0.429190665
Recover_3,0.429190665
Recover_4,0.429190665
Stop_time_0,3.4650285545
Time_of_interest_0,15.7640869463
nSampled_tips_0,237
R2S_0,0.0
R2S_1,0.0
R2S_2,0.0
R2S_3,0.0
R2S_4,0.0
Total_S0_0,396368
Total_S0_1,396368
Total_S0_2,396368
Total_S0_3,396368
Total_S0_4,396368
Infect_0,4.9666e-06
Infect_1,4.9666e-06
Infect_2,4.9666e-06
Infect_3,4.9666e-06
Infect_4,4.9666e-06
VisitDepart_0_0,0.0029365217
VisitDepart_0_1,0.0029365217
VisitDepart_0_2,0.0029365217
VisitDepart_0_3,0.0029365217
VisitDepart_0_4,0.0029365217
VisitDepart_1_0,0.0029365217
VisitDepart_1_1,0.0029365217
VisitDepart_1_2,0.0029365217
VisitDepart_1_3,0.0029365217
VisitDepart_1_4,0.0029365217
VisitDepart_2_0,0.0029365217
VisitDepart_2_1,0.0029365217
VisitDepart_2_2,0.0029365217
VisitDepart_2_3,0.0029365217
VisitDepart_2_4,0.0029365217
VisitDepart_3_0,0.0029365217
VisitDepart_3_1,0.0029365217
VisitDepart_3_2,0.0029365217
VisitDepart_3_3,0.0029365217
VisitDepart_3_4,0.0029365217
VisitDepart_4_0,0.0029365217
VisitDepart_4_1,0.0029365217
VisitDepart_4_2,0.0029365217
VisitDepart_4_3,0.0029365217
VisitDepart_4_4,0.0029365217
VisitReturn_0_0,0.1829470636
VisitReturn_0_1,0.1829470636
VisitReturn_0_2,0.1829470636
VisitReturn_0_3,0.1829470636
VisitReturn_0_4,0.1829470636
VisitReturn_1_0,0.1829470636
VisitReturn_1_1,0.1829470636
VisitReturn_1_2,0.1829470636
VisitReturn_1_3,0.1829470636
VisitReturn_1_4,0.1829470636
VisitReturn_2_0,0.1829470636
VisitReturn_2_1,0.1829470636
VisitReturn_2_2,0.1829470636
VisitReturn_2_3,0.1829470636
VisitReturn_2_4,0.1829470636
VisitReturn_3_0,0.1829470636
VisitReturn_3_1,0.1829470636
VisitReturn_3_2,0.1829470636
VisitReturn_3_3,0.1829470636
